reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_117_length_11261_cov_13.7727_ID_233	7277	1	2	7276	99.27
gi|184156320|ref|NC_010611.1|	NODE_81_length_16633_cov_12.9377_ID_161	16633	7217	4542	19307	98.33
gi|184156320|ref|NC_010611.1|	NODE_233_length_3034_cov_10.3787_ID_465	2993	24259	2	27247	97.86
gi|184156320|ref|NC_010611.1|	NODE_213_length_3980_cov_7.79834_ID_425	1	27191	3980	31170	98.72
gi|184156320|ref|NC_010611.1|	NODE_155_length_7961_cov_12.8618_ID_309	1	31815	7961	39765	98.81
gi|184156320|ref|NC_010611.1|	NODE_185_length_5634_cov_95.8949_ID_369	5561	39960	1	45516	99.64
gi|184156320|ref|NC_010611.1|	NODE_103_length_13357_cov_13.2093_ID_205	13357	45861	1	59218	98.86
gi|184156320|ref|NC_010611.1|	NODE_167_length_6740_cov_11.1382_ID_333	6740	59079	1	65817	98.59
gi|184156320|ref|NC_010611.1|	NODE_83_length_16536_cov_11.4554_ID_165	1	65758	13690	79464	95.83
gi|184156320|ref|NC_010611.1|	NODE_72_length_19045_cov_13.0609_ID_143	5962	95868	9876	99780	87.60
gi|184156320|ref|NC_010611.1|	NODE_116_length_11741_cov_13.31_ID_231	11739	109797	9973	111563	96.10
gi|184156320|ref|NC_010611.1|	NODE_248_length_2223_cov_9.88025_ID_495	1	121463	1301	122763	95.47
gi|184156320|ref|NC_010611.1|	NODE_48_length_24753_cov_13.6497_ID_95	24626	130571	1	155182	97.33
gi|184156320|ref|NC_010611.1|	NODE_276_length_1457_cov_10.1083_ID_551	1	155144	1192	156336	97.40
gi|184156320|ref|NC_010611.1|	NODE_21_length_39419_cov_12.9209_ID_41	39419	156688	30817	165290	96.75
gi|184156320|ref|NC_010611.1|	NODE_35_length_28525_cov_13.4974_ID_69	1	187342	14054	201393	99.17
gi|184156320|ref|NC_010611.1|	NODE_120_length_11061_cov_11.8268_ID_239	11061	221860	128	232815	98.32
gi|184156320|ref|NC_010611.1|	NODE_89_length_15437_cov_12.5822_ID_177	128	232807	15343	248018	98.61
gi|184156320|ref|NC_010611.1|	NODE_138_length_9259_cov_13.6915_ID_275	9082	262070	1	271151	97.89
gi|184156320|ref|NC_010611.1|	NODE_17_length_41500_cov_12.5123_ID_33	3	271040	41500	312523	98.65
gi|184156320|ref|NC_010611.1|	NODE_150_length_8488_cov_13.2319_ID_299	8488	312857	4736	316609	97.95
gi|184156320|ref|NC_010611.1|	NODE_287_length_1203_cov_33.8717_ID_573	1	321225	1203	322426	99.75
