reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_82_length_11505_cov_21.3482_ID_163	7380	1	1	7380	99.32
gi|184156320|ref|NC_010611.1|	NODE_74_length_14979_cov_23.0446_ID_147	14979	7225	2926	19307	98.04
gi|184156320|ref|NC_010611.1|	NODE_95_length_8819_cov_19.4954_ID_189	128	22081	5669	27622	95.53
gi|184156320|ref|NC_010611.1|	NODE_98_length_8565_cov_18.2008_ID_195	8565	31529	1	40088	98.95
gi|184156320|ref|NC_010611.1|	NODE_115_length_5251_cov_169.908_ID_229	5251	39962	1	45212	99.92
gi|184156320|ref|NC_010611.1|	NODE_106_length_6436_cov_23.0317_ID_211	6436	45395	1	51822	98.62
gi|184156320|ref|NC_010611.1|	NODE_30_length_40413_cov_19.5023_ID_59	40413	51723	8801	83355	95.95
gi|184156320|ref|NC_010611.1|	NODE_99_length_8557_cov_17.0479_ID_197	6416	95866	23	102256	91.56
gi|184156320|ref|NC_010611.1|	NODE_65_length_17424_cov_22.4516_ID_129	20	102248	4051	106275	96.56
gi|184156320|ref|NC_010611.1|	NODE_57_length_23638_cov_25.6527_ID_113	128	131659	23594	155086	97.44
gi|184156320|ref|NC_010611.1|	NODE_118_length_4798_cov_22.2406_ID_235	4490	172503	1	176991	99.00
gi|184156320|ref|NC_010611.1|	NODE_87_length_10360_cov_23.5985_ID_173	1	176929	10234	187161	98.78
gi|184156320|ref|NC_010611.1|	NODE_44_length_29123_cov_23.6942_ID_87	28995	187154	1	216148	98.48
gi|184156320|ref|NC_010611.1|	NODE_54_length_26381_cov_22.3082_ID_107	26381	221824	186	248018	98.58
gi|184156320|ref|NC_010611.1|	NODE_14_length_67943_cov_22.6974_ID_27	178	262070	2408	264300	96.37
gi|184156320|ref|NC_010611.1|	NODE_69_length_17032_cov_24.8436_ID_137	1	322251	17032	339279	99.98
gi|184156320|ref|NC_010611.1|	NODE_59_length_22652_cov_20.1085_ID_117	1	339169	22652	361821	99.97
gi|184156320|ref|NC_010611.1|	NODE_75_length_14794_cov_21.9291_ID_149	1	361713	14794	376506	100.00
gi|184156320|ref|NC_010611.1|	NODE_2_length_168403_cov_23.5401_ID_3	168403	376396	240	544585	99.97
gi|184156320|ref|NC_010611.1|	NODE_15_length_66400_cov_23.1037_ID_29	128	544577	66400	610847	99.99
