reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_41_length_32824_cov_23.677_ID_81	21565	1	2288	19307	98.53
gi|184156320|ref|NC_010611.1|	NODE_71_length_18078_cov_21.823_ID_141	128	22081	5669	27622	95.53
gi|184156320|ref|NC_010611.1|	NODE_166_length_1198_cov_13.6078_ID_331	1	45395	1198	46583	97.41
gi|184156320|ref|NC_010611.1|	NODE_27_length_45627_cov_23.4636_ID_53	1	46477	36858	83355	96.37
gi|184156320|ref|NC_010611.1|	NODE_42_length_32651_cov_22.5355_ID_83	8298	95866	18714	106275	93.49
gi|184156320|ref|NC_010611.1|	NODE_57_length_23722_cov_25.9384_ID_113	128	131659	23595	155087	97.44
gi|184156320|ref|NC_010611.1|	NODE_80_length_15096_cov_23.1048_ID_159	310	172503	14969	187161	98.86
gi|184156320|ref|NC_010611.1|	NODE_44_length_29519_cov_24.6865_ID_87	29391	187154	1	216544	98.47
gi|184156320|ref|NC_010611.1|	NODE_51_length_26968_cov_23.3283_ID_101	26968	221824	773	248018	98.58
gi|184156320|ref|NC_010611.1|	NODE_70_length_18154_cov_25.8713_ID_139	178	262070	2408	264300	96.37
gi|184156320|ref|NC_010611.1|	NODE_22_length_49874_cov_23.4687_ID_43	49874	271481	1	321351	99.74
gi|184156320|ref|NC_010611.1|	NODE_74_length_17038_cov_25.7179_ID_147	1	322251	17038	339285	99.98
gi|184156320|ref|NC_010611.1|	NODE_82_length_13822_cov_19.5691_ID_163	1	339186	13822	353009	99.97
gi|184156320|ref|NC_010611.1|	NODE_3_length_108546_cov_23.9921_ID_5	1	352940	108546	461484	99.99
gi|184156320|ref|NC_010611.1|	NODE_168_length_1089_cov_19.3233_ID_335	36	461373	1089	462426	100.00
gi|184156320|ref|NC_010611.1|	NODE_9_length_71423_cov_23.3118_ID_17	1	462348	71423	533796	99.95
gi|184156320|ref|NC_010611.1|	NODE_91_length_11001_cov_23.7524_ID_181	1	533712	10874	544585	100.00
gi|184156320|ref|NC_010611.1|	NODE_11_length_65653_cov_24.5025_ID_21	1	544759	65653	610409	99.99
gi|184156320|ref|NC_010611.1|	NODE_13_length_65261_cov_23.4732_ID_25	1	610303	65134	675436	99.99
gi|184156320|ref|NC_010611.1|	NODE_89_length_11588_cov_24.4807_ID_177	127	675428	11588	686885	99.94
gi|184156320|ref|NC_010611.1|	NODE_110_length_8262_cov_22.2268_ID_219	1	692165	8262	700424	99.95
gi|184156320|ref|NC_010611.1|	NODE_24_length_47879_cov_23.3727_ID_47	1	700512	5818	706331	99.90
gi|184156320|ref|NC_010611.1|	NODE_83_length_13331_cov_20.5686_ID_165	13331	748185	1	761515	100.00
gi|184156320|ref|NC_010611.1|	NODE_10_length_68319_cov_22.1164_ID_19	842	763408	68319	830881	99.98
gi|184156320|ref|NC_010611.1|	NODE_58_length_23549_cov_22.45_ID_115	23549	830858	1	854406	99.99
gi|184156320|ref|NC_010611.1|	NODE_15_length_59450_cov_23.1682_ID_29	59450	854298	34598	879149	99.98
gi|184156320|ref|NC_010611.1|	NODE_94_length_10430_cov_22.3878_ID_187	1	914282	10308	924589	100.00
gi|184156320|ref|NC_010611.1|	NODE_26_length_45909_cov_22.8083_ID_51	53	924510	35701	960157	99.88
gi|184156320|ref|NC_010611.1|	NODE_93_length_10759_cov_21.7625_ID_185	10725	966353	1	977083	95.41
gi|184156320|ref|NC_010611.1|	NODE_5_length_86961_cov_23.1988_ID_9	1	976975	86961	1063928	99.38
gi|184156320|ref|NC_010611.1|	NODE_99_length_9352_cov_20.9558_ID_197	9352	1063838	128	1073062	99.99
gi|184156320|ref|NC_010611.1|	NODE_122_length_5949_cov_21.9344_ID_243	128	1073054	5949	1078875	100.00
gi|184156320|ref|NC_010611.1|	NODE_52_length_26573_cov_22.3295_ID_103	1	1078955	26573	1105527	99.97
gi|184156320|ref|NC_010611.1|	NODE_102_length_9176_cov_26.7181_ID_203	1	1105691	4386	1110076	99.45
gi|184156320|ref|NC_010611.1|	NODE_40_length_36338_cov_23.4728_ID_79	1	1113533	2176	1115708	100.00
gi|184156320|ref|NC_010611.1|	NODE_37_length_38422_cov_23.0656_ID_73	6040	1117141	7517	1118617	93.71
gi|184156320|ref|NC_010611.1|	NODE_138_length_3351_cov_49.321_ID_275	2374	1155085	1	1157458	98.74
gi|184156320|ref|NC_010611.1|	NODE_112_length_7899_cov_19.6866_ID_223	7899	1157332	1529	1163702	99.97
gi|184156320|ref|NC_010611.1|	NODE_126_length_5521_cov_18.9232_ID_251	5521	1157332	2028	1160824	89.16
gi|184156320|ref|NC_010611.1|	NODE_7_length_73983_cov_23.2893_ID_13	40658	1164130	39269	1165519	97.55
gi|184156320|ref|NC_010611.1|	NODE_36_length_39520_cov_22.6442_ID_71	39520	1165383	128	1204775	99.99
gi|184156320|ref|NC_010611.1|	NODE_124_length_5647_cov_19.2596_ID_247	128	1240303	5647	1245822	100.00
gi|184156320|ref|NC_010611.1|	NODE_75_length_16532_cov_23.9797_ID_149	16532	1245812	127	1262215	99.98
gi|184156320|ref|NC_010611.1|	NODE_64_length_20972_cov_22.1741_ID_127	20845	1262207	1	1283063	99.91
gi|184156320|ref|NC_010611.1|	NODE_90_length_11212_cov_21.5175_ID_179	11212	1283247	1	1294457	99.79
gi|184156320|ref|NC_010611.1|	NODE_31_length_42748_cov_22.4395_ID_61	34368	1291582	33201	1292749	87.16
gi|184156320|ref|NC_010611.1|	NODE_68_length_19097_cov_21.7694_ID_135	1	1294333	19097	1313428	99.98
gi|184156320|ref|NC_010611.1|	NODE_165_length_1248_cov_6.47547_ID_329	1248	1313391	1	1314638	100.00
gi|184156320|ref|NC_010611.1|	NODE_147_length_2386_cov_14.2674_ID_293	2386	1314543	1	1316928	99.96
gi|184156320|ref|NC_010611.1|	NODE_35_length_39759_cov_21.1159_ID_69	1	1317401	24807	1342207	100.00
gi|184156320|ref|NC_010611.1|	NODE_66_length_20366_cov_23.0337_ID_131	1	1359057	20366	1379420	99.99
gi|184156320|ref|NC_010611.1|	NODE_146_length_2426_cov_17.8278_ID_291	2426	1379780	1	1382206	99.96
gi|184156320|ref|NC_010611.1|	NODE_95_length_10198_cov_17.2617_ID_189	3583	1379983	4632	1381033	88.05
gi|184156320|ref|NC_010611.1|	NODE_45_length_29018_cov_22.2418_ID_89	1	1382143	29018	1411160	99.99
gi|184156320|ref|NC_010611.1|	NODE_85_length_13061_cov_23.042_ID_169	13061	1411053	1	1424110	99.98
