reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_33_length_32824_cov_23.5282_ID_65	21565	1	2288	19307	98.53
gi|184156320|ref|NC_010611.1|	NODE_128_length_5602_cov_24.6981_ID_255	128	22081	5599	27552	95.51
gi|184156320|ref|NC_010611.1|	NODE_87_length_12589_cov_18.4297_ID_173	142	27646	12589	40088	98.79
gi|184156320|ref|NC_010611.1|	NODE_22_length_46732_cov_22.8508_ID_43	1	45395	37949	83355	96.39
gi|184156320|ref|NC_010611.1|	NODE_116_length_7295_cov_23.6977_ID_231	864	95866	7295	102295	91.45
gi|184156320|ref|NC_010611.1|	NODE_73_length_17839_cov_23.8841_ID_145	17836	102376	13938	106275	97.03
gi|184156320|ref|NC_010611.1|	NODE_53_length_23722_cov_26.2836_ID_105	23595	131659	128	155087	97.44
gi|184156320|ref|NC_010611.1|	NODE_103_length_8903_cov_19.3876_ID_205	8595	172503	1	181096	98.95
gi|184156320|ref|NC_010611.1|	NODE_122_length_6242_cov_27.8499_ID_243	1	181046	6116	187161	98.74
gi|184156320|ref|NC_010611.1|	NODE_40_length_29519_cov_23.9134_ID_79	29391	187154	1	216544	98.47
gi|184156320|ref|NC_010611.1|	NODE_46_length_26968_cov_23.7093_ID_91	26968	221824	773	248018	98.58
gi|184156320|ref|NC_010611.1|	NODE_12_length_67943_cov_23.4319_ID_23	178	262070	2408	264300	96.37
gi|184156320|ref|NC_010611.1|	NODE_76_length_16887_cov_25.1357_ID_151	1	322251	16887	339134	99.98
gi|184156320|ref|NC_010611.1|	NODE_60_length_21743_cov_20.9096_ID_119	21743	339078	1	360822	99.97
gi|184156320|ref|NC_010611.1|	NODE_5_length_101793_cov_23.8111_ID_9	101793	360719	105	462406	99.99
gi|184156320|ref|NC_010611.1|	NODE_9_length_81889_cov_23.0677_ID_17	1	462798	81762	544585	99.95
gi|184156320|ref|NC_010611.1|	NODE_15_length_65314_cov_24.9276_ID_29	1	544859	65314	610170	99.99
gi|184156320|ref|NC_010611.1|	NODE_21_length_47215_cov_23.8252_ID_41	1	610065	47215	657279	99.95
gi|184156320|ref|NC_010611.1|	NODE_83_length_14684_cov_20.793_ID_165	14684	657180	1	671863	100.00
gi|184156320|ref|NC_010611.1|	NODE_146_length_3803_cov_23.781_ID_291	1	671761	3676	675436	99.97
gi|184156320|ref|NC_010611.1|	NODE_91_length_11589_cov_22.9017_ID_181	128	675428	11589	686885	99.95
gi|184156320|ref|NC_010611.1|	NODE_111_length_8217_cov_20.6115_ID_221	1	692165	8217	700380	99.94
gi|184156320|ref|NC_010611.1|	NODE_18_length_55200_cov_22.089_ID_35	55200	700424	49294	706331	99.88
gi|184156320|ref|NC_010611.1|	NODE_125_length_5977_cov_24.6728_ID_249	5977	755540	1	761516	99.98
gi|184156320|ref|NC_010611.1|	NODE_137_length_4833_cov_17.8763_ID_273	669	763408	4833	767569	99.86
gi|184156320|ref|NC_010611.1|	NODE_164_length_1604_cov_9.32227_ID_327	1	767450	1604	769052	99.94
