reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_29_length_41734_cov_25.1151_ID_57	30903	1	11615	19307	98.71
gi|184156320|ref|NC_010611.1|	NODE_122_length_6051_cov_23.6158_ID_243	6051	31516	128	37436	99.05
gi|184156320|ref|NC_010611.1|	NODE_150_length_2801_cov_21.2883_ID_299	2676	37428	1	40088	97.42
gi|184156320|ref|NC_010611.1|	NODE_129_length_5559_cov_213.695_ID_257	5559	39962	1	45516	99.53
gi|184156320|ref|NC_010611.1|	NODE_24_length_45750_cov_25.2243_ID_47	45750	45403	1	91142	98.93
gi|184156320|ref|NC_010611.1|	NODE_55_length_25779_cov_26.3274_ID_109	25779	93532	12976	106333	99.22
gi|184156320|ref|NC_010611.1|	NODE_47_length_30451_cov_27.3318_ID_93	1	120952	1813	122763	97.02
gi|184156320|ref|NC_010611.1|	NODE_14_length_59475_cov_28.3673_ID_27	59475	156414	43310	172582	97.93
gi|184156320|ref|NC_010611.1|	NODE_54_length_26320_cov_25.8036_ID_107	1	221862	26158	248018	98.65
gi|184156320|ref|NC_010611.1|	NODE_10_length_65461_cov_27.4267_ID_19	59723	261626	4736	316609	98.47
gi|184156320|ref|NC_010611.1|	NODE_184_length_1203_cov_67.2063_ID_367	1	321225	1203	322426	99.67
gi|184156320|ref|NC_010611.1|	NODE_76_length_16836_cov_29.1752_ID_151	16836	322300	1	339134	99.31
gi|184156320|ref|NC_010611.1|	NODE_5_length_123506_cov_27.0574_ID_9	1	339024	8721	347741	98.69
gi|184156320|ref|NC_010611.1|	NODE_1_length_156844_cov_26.1423_ID_1	1	462830	7735	470561	98.93
gi|184156320|ref|NC_010611.1|	NODE_6_length_93258_cov_26.2591_ID_11	30216	623865	93258	686894	98.66
gi|184156320|ref|NC_010611.1|	NODE_109_length_8190_cov_25.6189_ID_217	8190	692203	1	700388	98.58
gi|184156320|ref|NC_010611.1|	NODE_18_length_50754_cov_25.2978_ID_35	49204	702081	48080	703205	92.18
gi|184156320|ref|NC_010611.1|	NODE_118_length_6759_cov_22.5632_ID_235	3346	758109	6759	761522	96.84
gi|184156320|ref|NC_010611.1|	NODE_102_length_9185_cov_39.5362_ID_203	3464	764850	6115	767502	96.16
gi|184156320|ref|NC_010611.1|	NODE_3_length_127653_cov_27.3651_ID_5	127201	787086	101297	812991	99.21
gi|184156320|ref|NC_010611.1|	NODE_19_length_49582_cov_25.8194_ID_37	1	914331	9674	924006	98.66
gi|184156320|ref|NC_010611.1|	NODE_51_length_27864_cov_20.9037_ID_101	13290	966960	8275	971976	95.08
gi|184156320|ref|NC_010611.1|	NODE_25_length_44934_cov_26.614_ID_49	1	989686	21291	1010976	98.53
gi|184156320|ref|NC_010611.1|	NODE_140_length_3448_cov_25.9322_ID_279	3448	1040996	1699	1042744	99.20
gi|184156320|ref|NC_010611.1|	NODE_37_length_34932_cov_23.2869_ID_73	34932	1044253	5	1079196	98.08
gi|184156320|ref|NC_010611.1|	NODE_125_length_5896_cov_19.8665_ID_249	1	1079090	5896	1084988	98.86
gi|184156320|ref|NC_010611.1|	NODE_66_length_21499_cov_25.5048_ID_131	21499	1084883	977	1105405	98.64
gi|184156320|ref|NC_010611.1|	NODE_183_length_1203_cov_7.34572_ID_365	3	1113185	1203	1114381	97.42
gi|184156320|ref|NC_010611.1|	NODE_97_length_10729_cov_37.0135_ID_193	1	1117506	1112	1118617	95.60
gi|184156320|ref|NC_010611.1|	NODE_126_length_5888_cov_25.2756_ID_251	4034	1121659	105	1125594	92.57
gi|184156320|ref|NC_010611.1|	NODE_152_length_2549_cov_13.6511_ID_303	2549	1127320	1	1129865	99.41
gi|184156320|ref|NC_010611.1|	NODE_166_length_1749_cov_18.648_ID_331	1	1129739	1749	1131490	97.89
gi|184156320|ref|NC_010611.1|	NODE_163_length_1805_cov_32.0447_ID_325	1805	1131364	227	1132942	90.52
gi|184156320|ref|NC_010611.1|	NODE_100_length_9691_cov_28.255_ID_199	1502	1132631	5423	1136556	91.60
gi|184156320|ref|NC_010611.1|	NODE_119_length_6164_cov_41.5398_ID_237	6164	1142142	1969	1146338	90.50
gi|184156320|ref|NC_010611.1|	NODE_130_length_5421_cov_71.1783_ID_259	5421	1142142	1226	1146336	91.47
gi|184156320|ref|NC_010611.1|	NODE_131_length_5406_cov_28.8468_ID_261	3233	1144060	970	1146324	86.24
gi|184156320|ref|NC_010611.1|	NODE_158_length_1979_cov_22.6852_ID_315	242	1148466	1947	1150171	93.08
gi|184156320|ref|NC_010611.1|	NODE_110_length_8061_cov_42.8914_ID_219	5981	1152368	4505	1153853	94.41
gi|184156320|ref|NC_010611.1|	NODE_148_length_2830_cov_21.1162_ID_295	2432	1152717	1315	1153834	92.77
gi|184156320|ref|NC_010611.1|	NODE_138_length_3769_cov_28.6208_ID_275	3315	1152769	1548	1154537	90.63
gi|184156320|ref|NC_010611.1|	NODE_174_length_1424_cov_70.0779_ID_347	1424	1155140	421	1156143	86.75
gi|184156320|ref|NC_010611.1|	NODE_149_length_2826_cov_32.5295_ID_297	2740	1156821	1	1159560	89.06
gi|184156320|ref|NC_010611.1|	NODE_22_length_47063_cov_26.5118_ID_43	87	1156821	4091	1160824	89.17
gi|184156320|ref|NC_010611.1|	NODE_159_length_1951_cov_18.324_ID_317	1951	1159862	881	1160931	87.69
gi|184156320|ref|NC_010611.1|	NODE_168_length_1644_cov_32.2274_ID_335	198	1163889	1644	1165335	97.03
gi|184156320|ref|NC_010611.1|	NODE_141_length_3402_cov_24.7762_ID_281	1128	1164130	1	1165257	97.78
gi|184156320|ref|NC_010611.1|	NODE_101_length_9548_cov_26.4934_ID_201	9456	1167963	1	1177415	95.46
gi|184156320|ref|NC_010611.1|	NODE_48_length_28958_cov_24.5821_ID_95	1	1177306	28831	1206136	98.44
