reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_194_length_7158_cov_9.82307_ID_387	59	1	7158	7100	99.20
gi|184156320|ref|NC_010611.1|	NODE_285_length_5275_cov_9.89918_ID_569	1	7161	5246	12407	99.37
gi|184156320|ref|NC_010611.1|	NODE_45_length_14000_cov_8.96014_ID_89	4	13130	6182	19307	97.83
gi|184156320|ref|NC_010611.1|	NODE_456_length_2689_cov_7.48048_ID_911	2689	27890	1	30578	99.37
gi|184156320|ref|NC_010611.1|	NODE_148_length_8301_cov_10.1779_ID_295	1	31806	8301	40088	98.57
gi|184156320|ref|NC_010611.1|	NODE_268_length_5529_cov_66.2114_ID_535	1	39962	5529	45489	99.93
gi|184156320|ref|NC_010611.1|	NODE_501_length_2300_cov_7.05706_ID_1001	2300	45363	1	47655	98.22
gi|184156320|ref|NC_010611.1|	NODE_395_length_3321_cov_8.1149_ID_789	3321	47492	1	50812	98.83
gi|184156320|ref|NC_010611.1|	NODE_123_length_8973_cov_8.90029_ID_245	8973	50685	98	59560	98.88
gi|184156320|ref|NC_010611.1|	NODE_314_length_4583_cov_7.9118_ID_627	4583	60243	1	64824	98.60
gi|184156320|ref|NC_010611.1|	NODE_188_length_7415_cov_9.25974_ID_375	1	65234	7412	72643	97.79
gi|184156320|ref|NC_010611.1|	NODE_329_length_4300_cov_9.00144_ID_657	4175	72748	1	76922	97.89
gi|184156320|ref|NC_010611.1|	NODE_299_length_5075_cov_8.66795_ID_597	5075	76818	1	81890	93.72
gi|184156320|ref|NC_010611.1|	NODE_181_length_7588_cov_9.07894_ID_361	6620	95866	1	102483	92.55
gi|184156320|ref|NC_010611.1|	NODE_51_length_13397_cov_8.67061_ID_101	1	102372	3962	106333	98.03
gi|184156320|ref|NC_010611.1|	NODE_405_length_3209_cov_7.34945_ID_809	256	117995	1654	119391	97.43
gi|184156320|ref|NC_010611.1|	NODE_342_length_4128_cov_9.54711_ID_683	1	131010	4128	135137	96.83
gi|184156320|ref|NC_010611.1|	NODE_520_length_2138_cov_10.1293_ID_1039	6	134922	2138	137054	95.64
gi|184156320|ref|NC_010611.1|	NODE_191_length_7241_cov_9.90343_ID_381	7241	136958	5	144195	97.69
