reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_65_length_18532_cov_22.8368_ID_129	11251	1	18532	7282	99.35
gi|184156320|ref|NC_010611.1|	NODE_85_length_14391_cov_25.9912_ID_169	14391	7175	2288	19307	98.04
gi|184156320|ref|NC_010611.1|	NODE_100_length_9880_cov_21.1017_ID_199	128	22081	5669	27622	95.53
gi|184156320|ref|NC_010611.1|	NODE_136_length_5014_cov_25.1768_ID_271	1	31914	5014	36927	99.32
gi|184156320|ref|NC_010611.1|	NODE_151_length_3257_cov_22.1425_ID_301	3257	36837	1	40088	98.56
gi|184156320|ref|NC_010611.1|	NODE_22_length_46930_cov_24.7241_ID_43	1	45358	37986	83355	96.40
gi|184156320|ref|NC_010611.1|	NODE_83_length_14763_cov_25.8319_ID_165	864	95866	11280	106275	93.49
gi|184156320|ref|NC_010611.1|	NODE_96_length_10559_cov_22.2885_ID_191	1	109688	1876	111563	95.53
gi|184156320|ref|NC_010611.1|	NODE_54_length_23503_cov_27.5369_ID_107	23376	131659	1	154995	97.43
gi|184156320|ref|NC_010611.1|	NODE_81_length_15096_cov_24.7139_ID_161	310	172503	14969	187161	98.86
gi|184156320|ref|NC_010611.1|	NODE_42_length_29318_cov_26.5831_ID_83	29318	187236	1	216553	98.50
gi|184156320|ref|NC_010611.1|	NODE_47_length_26380_cov_24.718_ID_93	26380	221858	219	248018	98.58
gi|184156320|ref|NC_010611.1|	NODE_12_length_67943_cov_25.1747_ID_23	178	262070	2408	264300	96.37
gi|184156320|ref|NC_010611.1|	NODE_70_length_17628_cov_26.1786_ID_139	1	322251	17628	339875	99.98
gi|184156320|ref|NC_010611.1|	NODE_1_length_137593_cov_24.54_ID_1	137593	339808	1	477402	99.99
gi|184156320|ref|NC_010611.1|	NODE_13_length_67399_cov_24.6211_ID_25	1	477289	67272	544585	99.95
gi|184156320|ref|NC_010611.1|	NODE_16_length_57870_cov_26.3078_ID_31	1	544866	57870	602733	99.99
gi|184156320|ref|NC_010611.1|	NODE_117_length_7446_cov_23.4483_ID_233	7446	602677	1	610122	99.97
gi|184156320|ref|NC_010611.1|	NODE_14_length_65540_cov_24.8648_ID_27	1	610024	65413	675436	99.99
gi|184156320|ref|NC_010611.1|	NODE_90_length_11493_cov_24.6208_ID_179	128	675428	11493	686789	99.95
gi|184156320|ref|NC_010611.1|	NODE_130_length_5524_cov_190.415_ID_259	5524	686768	1	692291	99.98
gi|184156320|ref|NC_010611.1|	NODE_86_length_14259_cov_22.0295_ID_171	14259	692170	101	706328	99.92
gi|184156320|ref|NC_010611.1|	NODE_18_length_55390_cov_23.3535_ID_35	55325	706269	1	761526	99.87
gi|184156320|ref|NC_010611.1|	NODE_129_length_5625_cov_18.4665_ID_257	5625	763598	1	769221	99.98
gi|184156320|ref|NC_010611.1|	NODE_181_length_1056_cov_5.37998_ID_361	1	769117	1056	770172	100.00
gi|184156320|ref|NC_010611.1|	NODE_123_length_6699_cov_21.9058_ID_245	6699	770094	1	776792	100.00
gi|184156320|ref|NC_010611.1|	NODE_105_length_9345_cov_20.7055_ID_209	9345	776693	1	786037	100.00
gi|184156320|ref|NC_010611.1|	NODE_41_length_29578_cov_27.3717_ID_81	29578	785895	1	815471	99.97
gi|184156320|ref|NC_010611.1|	NODE_26_length_43010_cov_24.6793_ID_51	1	815371	43010	858381	99.99
gi|184156320|ref|NC_010611.1|	NODE_23_length_46020_cov_23.7309_ID_45	46020	858748	25618	879149	99.98
gi|184156320|ref|NC_010611.1|	NODE_106_length_9091_cov_27.2074_ID_211	9091	904292	1	913382	99.98
gi|184156320|ref|NC_010611.1|	NODE_98_length_10213_cov_24.0854_ID_195	10213	914282	1	924494	100.00
gi|184156320|ref|NC_010611.1|	NODE_17_length_55442_cov_23.2722_ID_33	1	924591	35568	960157	99.88
gi|184156320|ref|NC_010611.1|	NODE_4_length_107491_cov_23.5042_ID_7	612	966353	107321	1073062	99.03
