reference	query	refStart	queryStart	refEnd	queryEnd	identity
gi|184156320|ref|NC_010611.1|	NODE_32_length_33357_cov_23.8019_ID_63	22203	1	2926	19307	98.53
gi|184156320|ref|NC_010611.1|	NODE_70_length_17960_cov_19.3131_ID_139	128	22081	5669	27622	95.53
gi|184156320|ref|NC_010611.1|	NODE_15_length_49758_cov_21.9918_ID_29	1	45086	38259	83355	96.40
gi|184156320|ref|NC_010611.1|	NODE_36_length_32081_cov_21.2106_ID_71	7728	95866	18144	106275	93.49
gi|184156320|ref|NC_010611.1|	NODE_58_length_23485_cov_24.5324_ID_115	128	131659	23485	154977	97.43
gi|184156320|ref|NC_010611.1|	NODE_175_length_2767_cov_19.9485_ID_349	2459	172503	1	174961	99.02
gi|184156320|ref|NC_010611.1|	NODE_139_length_6262_cov_20.1343_ID_277	1	174848	6262	181108	98.88
gi|184156320|ref|NC_010611.1|	NODE_141_length_6228_cov_26.0811_ID_281	1	181060	6102	187161	98.74
gi|184156320|ref|NC_010611.1|	NODE_42_length_29183_cov_24.534_ID_83	29183	187266	1	216448	98.50
gi|184156320|ref|NC_010611.1|	NODE_28_length_37574_cov_22.7248_ID_55	37574	221824	11379	248018	98.58
gi|184156320|ref|NC_010611.1|	NODE_11_length_67900_cov_22.7241_ID_21	135	262070	2365	264300	96.37
gi|184156320|ref|NC_010611.1|	NODE_52_length_26397_cov_21.573_ID_103	1	322251	26397	348643	99.98
gi|184156320|ref|NC_010611.1|	NODE_10_length_70857_cov_22.361_ID_19	1	348565	70857	419423	99.99
gi|184156320|ref|NC_010611.1|	NODE_131_length_7693_cov_22.8263_ID_261	1	419320	7693	427012	99.97
gi|184156320|ref|NC_010611.1|	NODE_31_length_34500_cov_22.8006_ID_61	1	426975	34500	461474	100.00
gi|184156320|ref|NC_010611.1|	NODE_113_length_9948_cov_20.2751_ID_225	1	461381	9948	471329	99.99
gi|184156320|ref|NC_010611.1|	NODE_12_length_62862_cov_21.9684_ID_23	1	471240	62862	534126	99.94
gi|184156320|ref|NC_010611.1|	NODE_105_length_10680_cov_21.3391_ID_209	1	534033	10553	544585	100.00
gi|184156320|ref|NC_010611.1|	NODE_1_length_119397_cov_22.0638_ID_1	119397	544878	1	664272	99.99
gi|184156320|ref|NC_010611.1|	NODE_98_length_11395_cov_20.196_ID_195	1	664169	11268	675436	99.97
gi|184156320|ref|NC_010611.1|	NODE_96_length_11492_cov_21.2396_ID_191	127	675428	11492	686789	99.95
gi|184156320|ref|NC_010611.1|	NODE_88_length_14252_cov_17.9029_ID_175	14252	692165	114	706303	99.93
gi|184156320|ref|NC_010611.1|	NODE_17_length_48486_cov_20.7126_ID_33	48390	706269	1	754598	99.86
gi|184156320|ref|NC_010611.1|	NODE_137_length_6904_cov_19.9646_ID_273	6904	754502	1	761405	99.93
gi|184156320|ref|NC_010611.1|	NODE_143_length_6129_cov_14.9888_ID_285	6129	763560	1	769687	99.98
gi|184156320|ref|NC_010611.1|	NODE_2_length_100866_cov_20.4774_ID_3	1	769619	100866	870484	99.99
gi|184156320|ref|NC_010611.1|	NODE_23_length_43356_cov_21.087_ID_45	1	870392	8759	879149	99.97
gi|184156320|ref|NC_010611.1|	NODE_109_length_10338_cov_20.5339_ID_217	10338	914282	10	924609	99.95
gi|184156320|ref|NC_010611.1|	NODE_20_length_45756_cov_19.9005_ID_39	45756	924610	10208	960157	99.88
gi|184156320|ref|NC_010611.1|	NODE_19_length_46362_cov_18.8382_ID_37	1821	966353	46362	1010895	97.69
gi|184156320|ref|NC_010611.1|	NODE_40_length_30246_cov_19.8502_ID_79	30246	1010729	1	1040973	99.99
gi|184156320|ref|NC_010611.1|	NODE_84_length_14763_cov_19.0665_ID_167	1	1040886	14763	1055648	99.97
gi|184156320|ref|NC_010611.1|	NODE_76_length_15910_cov_16.7068_ID_151	15910	1055517	1	1071426	99.99
gi|184156320|ref|NC_010611.1|	NODE_190_length_1787_cov_21.5163_ID_379	1787	1071403	128	1073062	100.00
gi|184156320|ref|NC_010611.1|	NODE_157_length_4347_cov_18.6678_ID_313	128	1073054	4347	1077273	100.00
gi|184156320|ref|NC_010611.1|	NODE_191_length_1653_cov_21.0583_ID_381	1	1077234	1653	1078886	100.00
gi|184156320|ref|NC_010611.1|	NODE_51_length_26412_cov_18.6697_ID_101	26412	1079037	1	1105448	99.97
gi|184156320|ref|NC_010611.1|	NODE_77_length_15849_cov_19.7889_ID_153	1	1105854	4223	1110076	99.50
gi|184156320|ref|NC_010611.1|	NODE_6_length_74948_cov_17.9295_ID_11	42566	1117141	44043	1118617	93.71
